mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	answer	test_x	test_y	test_z	color_b	color_g	color_r	case	font
830230	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	SEAFOOD	1260	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
834150	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	STRAWBERRY	1391	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
838054	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	CHICKEN	297	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
841949	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	TURKEY	1520	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
845844	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	TERMITE	1451	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
851688	REC_START	n/a	LTP145	ltpFR	10	4	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
853583	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	ELECTRICIAN	521	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
856257	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	n/a	RENCH	-1	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
857228	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	RIFLE	1192	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
860563	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	AUTHOR	61	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
862658	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	SHEEP	1278	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
864088	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	QUILT	1151	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
865082	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	COLUMN	350	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
866449	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	NEWSPAPER	948	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
868490	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	TERMITE	1451	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
869891	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	TURKEY	1520	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
870799	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	CHICKEN	297	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
871995	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	SEAFOOD	1260	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
873009	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	STRAWBERRY	1391	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
874700	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	VEGETABLE	1552	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
876851	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	CATERPILLAR	259	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
920042	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	EMERALD	528	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
932711	START	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
934218	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	11	4	1	6	n/a	n/a	n/a	n/a	n/a
935540	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	17	3	6	8	n/a	n/a	n/a	n/a	n/a
937904	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	9	1	4	4	n/a	n/a	n/a	n/a	n/a
939229	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	9	6	2	1	n/a	n/a	n/a	n/a	n/a
940842	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	7	5	1	1	n/a	n/a	n/a	n/a	n/a
942540	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	15	5	1	9	n/a	n/a	n/a	n/a	n/a
943947	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	15	2	4	9	n/a	n/a	n/a	n/a	n/a
948711	STOP	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
949649	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	5	0	TOILET	1475	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
952654	START	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
